Rule   (Support, Confidence) 
Gene YDL025C high -> Gene YDR391C high  (2.6667%, 57.1429%)
Gene YDR391C high -> Gene YDL025C high  (2.6667%, 47.0588%)
Gene YDL025C high -> Gene YKR076W high  (2.6667%, 57.1429%)
Gene YKR076W high -> Gene YDL025C high  (2.6667%, 22.8571%)
Gene YDL025C high -> Gene YDR453C high  (2.6667%, 57.1429%)
Gene YDR453C high -> Gene YDL025C high  (2.6667%, 53.3333%)
Gene YDL025C high -> Gene YMR108W high  (2.6667%, 57.1429%)
Gene YMR108W high -> Gene YDL025C high  (2.6667%, 25.8065%)
Gene YDL025C high -> Gene YDL130W-A high  (2.6667%, 57.1429%)
Gene YDL130W-A high -> Gene YDL025C high  (2.6667%, 33.3333%)
Gene YDL025C high -> Gene YLR266C high  (2.6667%, 57.1429%)
Gene YLR266C high -> Gene YDL025C high  (2.6667%, 53.3333%)
Gene YDL025C high -> Gene YJR016C high  (2.6667%, 57.1429%)
Gene YJR016C high -> Gene YDL025C high  (2.6667%, 36.3636%)
Gene YDL025C high -> Gene YPR078C high  (2.6667%, 57.1429%)
Gene YDL025C high -> Gene YLR290C high  (2.6667%, 57.1429%)
Gene YLR290C high -> Gene YDL025C high  (2.6667%, 61.5385%)
Gene YDL025C high -> Gene YOR237W high  (2.6667%, 57.1429%)
Gene YOR237W high -> Gene YDL025C high  (2.6667%, 28.5714%)
Gene YDL025C high -> Gene YMR195W high  (2.6667%, 57.1429%)
Gene YMR195W high -> Gene YDL025C high  (2.6667%, 44.4444%)
Gene YDL025C high -> Gene YJR148W high  (2.6667%, 57.1429%)
Gene YJR148W high -> Gene YDL025C high  (2.6667%, 25.8065%)
Gene YDL025C high -> Gene YKL163W high  (2.6667%, 57.1429%)
Gene YKL163W high -> Gene YDL025C high  (2.6667%, 24.2424%)
Gene YDL025C high -> Gene YMR181C high  (2.6667%, 57.1429%)
Gene YMR181C high -> Gene YDL025C high  (2.6667%, 20.5128%)
Gene YDL025C high -> Gene YGR008C high  (2.6667%, 57.1429%)
Gene YGR008C high -> Gene YDL025C high  (2.6667%, 22.8571%)
Gene YDL025C high -> Gene YPL140C high  (2.6667%, 57.1429%)
Gene YPL140C high -> Gene YDL025C high  (2.6667%, 80%)
Gene YDL025C high -> Gene YBR149W high  (2.6667%, 57.1429%)
Gene YBR149W high -> Gene YDL025C high  (2.6667%, 42.1053%)
Gene YDL025C high -> Gene YER024W high  (2.6667%, 57.1429%)
Gene YER024W high -> Gene YDL025C high  (2.6667%, 23.5294%)
Gene YDL025C high -> Gene YKL188C high  (2.6667%, 57.1429%)
Gene YKL188C high -> Gene YDL025C high  (2.6667%, 57.1429%)
Gene YDL025C high -> Gene YMR011W high  (2.6667%, 57.1429%)
Gene YDL025C high -> Gene YDR077W high  (2.6667%, 57.1429%)
Gene YDR077W high -> Gene YDL025C high  (2.6667%, 20.5128%)
Gene YDL025C high -> Gene YNL332W high  (2.6667%, 57.1429%)
Gene YNL332W high -> Gene YDL025C high  (2.6667%, 28.5714%)
Gene YDL025C high -> Gene YER053C high  (2.6667%, 57.1429%)
Gene YER053C high -> Gene YDL025C high  (2.6667%, 22.2222%)
Gene YDL025C high -> Gene YKL033W-A high  (2.6667%, 57.1429%)
Gene YKL033W-A high -> Gene YDL025C high  (2.6667%, 38.0952%)
Gene YDL025C high -> Gene YDR426C high  (2.6667%, 57.1429%)
Gene YDR426C high -> Gene YDL025C high  (2.6667%, 26.6667%)
Gene YDL025C high -> Gene YBR249C high  (2.6667%, 57.1429%)
Gene YBR249C high -> Gene YDL025C high  (2.6667%, 26.6667%)
Gene YDL025C high -> Gene YBR043C high  (2.6667%, 57.1429%)
Gene YBR043C high -> Gene YDL025C high  (2.6667%, 38.0952%)
Gene YDL025C high -> Gene YGL012W high  (2.6667%, 57.1429%)
Gene YGL012W high -> Gene YDL025C high  (2.6667%, 29.6296%)
Gene YDL025C high -> Gene YLR080W high  (2.6667%, 57.1429%)
Gene YLR080W high -> Gene YDL025C high  (2.6667%, 40%)
Gene YDL025C high -> Gene YNL129W high  (2.6667%, 57.1429%)
Gene YNL129W high -> Gene YDL025C high  (2.6667%, 47.0588%)
Gene YDL025C high -> Gene YJL048C high  (2.6667%, 57.1429%)
Gene YJL048C high -> Gene YDL025C high  (2.6667%, 53.3333%)
Gene YDL025C high -> Gene YCL049C high  (2.6667%, 57.1429%)
Gene YCL049C high -> Gene YDL025C high  (2.6667%, 30.7692%)
Gene YDL025C high -> Gene YPR160W high  (2.6667%, 57.1429%)
Gene YDL025C high -> Gene YER185W high  (2.6667%, 57.1429%)
Gene YER185W high -> Gene YDL025C high  (2.6667%, 28.5714%)
Gene YDL025C high -> Gene YNL104C high  (2.6667%, 57.1429%)
Gene YNL104C high -> Gene YDL025C high  (2.6667%, 25%)
Gene YDL025C high -> Gene YEL049W high  (2.3333%, 50%)
Gene YEL049W high -> Gene YDL025C high  (2.3333%, 43.75%)
Gene YDL025C high -> Gene YFL057C high  (2.3333%, 50%)
Gene YFL057C high -> Gene YDL025C high  (2.3333%, 58.3333%)
Gene YDL025C high -> Gene YPL221W high  (2.3333%, 50%)
Gene YPL221W high -> Gene YDL025C high  (2.3333%, 35%)
Gene YDL025C high -> Gene YDR537C high  (2.3333%, 50%)
Gene YDR537C high -> Gene YDL025C high  (2.3333%, 50%)
Gene YDL025C high -> Gene YKR101W high  (2.3333%, 50%)
Gene YKR101W high -> Gene YDL025C high  (2.3333%, 70%)
Gene YDL025C high -> Gene YJR156C high  (2.3333%, 50%)
Gene YJR156C high -> Gene YDL025C high  (2.3333%, 28%)
Gene YDL025C high -> Gene YFL030W high  (2.3333%, 50%)
Gene YFL030W high -> Gene YDL025C high  (2.3333%, 43.75%)
Gene YDL025C high -> Gene YFL058W high  (2.3333%, 50%)
Gene YFL058W high -> Gene YDL025C high  (2.3333%, 21.875%)
Gene YDL025C high -> Gene YLR461W high  (2.3333%, 50%)
Gene YLR461W high -> Gene YDL025C high  (2.3333%, 41.1765%)
Gene YDL025C high -> Gene YIR005W high  (2.3333%, 50%)
Gene YIR005W high -> Gene YDL025C high  (2.3333%, 70%)
Gene YDL025C high -> Gene YJL108C high  (2.3333%, 50%)
Gene YJL108C high -> Gene YDL025C high  (2.3333%, 25.9259%)
Gene YDL025C high -> Gene YDL223C high  (2.3333%, 50%)
Gene YDL223C high -> Gene YDL025C high  (2.3333%, 25.9259%)
Gene YDL025C high -> Gene YLR121C high  (2.3333%, 50%)
Gene YDL025C high -> Gene YLR343W high  (2.3333%, 50%)
Gene YDL025C high -> Gene YDR213W high  (2.3333%, 50%)
Gene YDR213W high -> Gene YDL025C high  (2.3333%, 58.3333%)
Gene YDL025C high -> Gene YGR088W high  (2.3333%, 50%)
Gene YGR088W high -> Gene YDL025C high  (2.3333%, 23.3333%)
Gene YDL025C high -> Gene YAL044C high  (2.3333%, 50%)
Gene YAL044C high -> Gene YDL025C high  (2.3333%, 30.4348%)
Gene YDL025C high -> Gene YOR339C high  (2.3333%, 50%)
Gene YOR339C high -> Gene YDL025C high  (2.3333%, 35%)
Gene YDL025C high -> Gene YKR099W high  (2.3333%, 50%)
Gene YKR099W high -> Gene YDL025C high  (2.3333%, 26.9231%)
Gene YDL025C high -> Gene YEL039C high  (2.3333%, 50%)
Gene YEL039C high -> Gene YDL025C high  (2.3333%, 25.9259%)
Gene YDL025C high -> Gene YOR011W high  (2.3333%, 50%)
Gene YOR011W high -> Gene YDL025C high  (2.3333%, 58.3333%)
Gene YDL025C high -> Gene YNL311C high  (2.3333%, 50%)
Gene YNL311C high -> Gene YDL025C high  (2.3333%, 63.6364%)
Gene YDL025C high -> Gene YIL099W high  (2.3333%, 50%)
Gene YIL099W high -> Gene YDL025C high  (2.3333%, 31.8182%)
Gene YDL025C high -> Gene YCL040W high  (2.3333%, 50%)
Gene YDL025C high -> Gene YDR038C high  (2.3333%, 50%)
Gene YDR038C high -> Gene YDL025C high  (2.3333%, 87.5%)
Gene YDL025C high -> Gene YIL074C high  (2.3333%, 50%)
Gene YIL074C high -> Gene YDL025C high  (2.3333%, 46.6667%)
Gene YDL025C high -> Gene YMR174C high  (2.3333%, 50%)
Gene YMR174C high -> Gene YDL025C high  (2.3333%, 43.75%)
Gene YDL025C high -> Gene YER086W high  (2.3333%, 50%)
Gene YER086W high -> Gene YDL025C high  (2.3333%, 36.8421%)
Gene YDL025C high -> Gene YBL100W-B high  (2.3333%, 50%)
Gene YBL100W-B high -> Gene YDL025C high  (2.3333%, 23.3333%)
Gene YDL025C high -> Gene YHR208W high  (2.3333%, 50%)
Gene YHR208W high -> Gene YDL025C high  (2.3333%, 43.75%)
Gene YDL025C high -> Gene YKR091W high  (2.3333%, 50%)
Gene YKR091W high -> Gene YDL025C high  (2.3333%, 20.5882%)
Gene YDL025C high -> Gene YGL202W high  (2.3333%, 50%)
Gene YGL202W high -> Gene YDL025C high  (2.3333%, 26.9231%)
Gene YDL025C high -> Gene YMR170C high  (2.3333%, 50%)
Gene YMR170C high -> Gene YDL025C high  (2.3333%, 31.8182%)
Gene YDL025C high -> Gene YHL027W high  (2.3333%, 50%)
Gene YHL027W high -> Gene YDL025C high  (2.3333%, 58.3333%)
Gene YDL025C high -> Gene YKR061W high  (2.3333%, 50%)
Gene YKR061W high -> Gene YDL025C high  (2.3333%, 25.9259%)
Gene YDL025C high -> Gene YBR006W high  (2%, 42.8571%)
Gene YBR006W high -> Gene YDL025C high  (2%, 33.3333%)
Gene YDL025C high -> Gene YHR097C high  (2%, 42.8571%)
Gene YHR097C high -> Gene YDL025C high  (2%, 30%)
Gene YDL025C high -> Gene YLL058W high  (2%, 42.8571%)
Gene YLL058W high -> Gene YDL025C high  (2%, 54.5455%)
Gene YDL025C high -> Gene YJR137C high  (2%, 42.8571%)
Gene YJR137C high -> Gene YDL025C high  (2%, 24%)
Gene YDL025C high -> Gene YMR322C high  (2%, 42.8571%)
Gene YMR322C high -> Gene YDL025C high  (2%, 30%)
Gene YDL025C high -> Gene YDR011W high  (2%, 42.8571%)
Gene YDR011W high -> Gene YDL025C high  (2%, 37.5%)
Gene YDL025C high -> Gene YBR067C high  (2%, 42.8571%)
Gene YBR067C high -> Gene YDL025C high  (2%, 20.6897%)
Gene YDL025C high -> Gene YBR114W high  (2%, 42.8571%)
Gene YBR114W high -> Gene YDL025C high  (2%, 25%)
Gene YDL025C high -> Gene YBR214W high  (2%, 42.8571%)
Gene YBR214W high -> Gene YDL025C high  (2%, 20.6897%)
Gene YDL025C high -> Gene YGR267C high  (2%, 42.8571%)
Gene YGR267C high -> Gene YDL025C high  (2%, 60%)
Gene YDL025C high -> Gene YMR105C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YAR010C high  (2%, 42.8571%)
Gene YAR010C high -> Gene YDL025C high  (2%, 21.4286%)
Gene YDL025C high -> Gene YML039W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YJR029W high  (2%, 42.8571%)
Gene YJR029W high -> Gene YDL025C high  (2%, 20.6897%)
Gene YDL025C high -> Gene YDR059C high  (2%, 42.8571%)
Gene YDR059C high -> Gene YDL025C high  (2%, 30%)
Gene YDL025C high -> Gene YDR170W-A high  (2%, 42.8571%)
Gene YDR170W-A high -> Gene YDL025C high  (2%, 20.6897%)
Gene YDL025C high -> Gene YIL136W high  (2%, 42.8571%)
Gene YIL136W high -> Gene YDL025C high  (2%, 22.2222%)
Gene YDL025C high -> Gene YJR027W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YOR389W high  (2%, 42.8571%)
Gene YOR389W high -> Gene YDL025C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YKR046C high  (2%, 42.8571%)
Gene YKR046C high -> Gene YDL025C high  (2%, 33.3333%)
Gene YDL025C high -> Gene YDR259C high  (2%, 42.8571%)
Gene YDR259C high -> Gene YDL025C high  (2%, 27.2727%)
Gene YDL025C high -> Gene YBR012W-A high  (2%, 42.8571%)
Gene YBR012W-A high -> Gene YDL025C high  (2%, 22.2222%)
Gene YDL025C high -> Gene YJL222W high  (2%, 42.8571%)
Gene YJL222W high -> Gene YDL025C high  (2%, 46.1538%)
Gene YDL025C high -> Gene YOL017W high  (2%, 42.8571%)
Gene YOL017W high -> Gene YDL025C high  (2%, 60%)
Gene YDL025C high -> Gene YER044C high  (2%, 42.8571%)
Gene YER044C high -> Gene YDL025C high  (2%, 40%)
Gene YDL025C high -> Gene YJL027C high  (2%, 42.8571%)
Gene YJL027C high -> Gene YDL025C high  (2%, 30%)
Gene YDL025C high -> Gene YML040W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YGL045W high  (2%, 42.8571%)
Gene YGL045W high -> Gene YDL025C high  (2%, 50%)
Gene YDL025C high -> Gene YER138C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YDR380W high  (2%, 42.8571%)
Gene YDR380W high -> Gene YDL025C high  (2%, 28.5714%)
Gene YDL025C high -> Gene YJL171C high  (2%, 42.8571%)
Gene YJL171C high -> Gene YDL025C high  (2%, 33.3333%)
Gene YDL025C high -> Gene YDR171W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YIL163C high  (2%, 42.8571%)
Gene YIL163C high -> Gene YDL025C high  (2%, 50%)
Gene YDL025C high -> Gene YMR017W high  (2%, 42.8571%)
Gene YMR017W high -> Gene YDL025C high  (2%, 22.2222%)
Gene YDL025C high -> Gene YBR212W high  (2%, 42.8571%)
Gene YBR212W high -> Gene YDL025C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YMR090W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YER130C high  (2%, 42.8571%)
Gene YER130C high -> Gene YDL025C high  (2%, 30%)
Gene YDL025C high -> Gene YKL001C high  (2%, 42.8571%)
Gene YKL001C high -> Gene YDL025C high  (2%, 26.087%)
Gene YDL025C high -> Gene YML131W high  (2%, 42.8571%)
Gene YML131W high -> Gene YDL025C high  (2%, 25%)
Gene YDL025C high -> Gene YIL060W high  (2%, 42.8571%)
Gene YIL060W high -> Gene YDL025C high  (2%, 21.4286%)
Gene YDL025C high -> Gene YCR100C high  (2%, 42.8571%)
Gene YCR100C high -> Gene YDL025C high  (2%, 37.5%)
Gene YDL025C high -> Gene YKL062W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YDR055W high  (2%, 42.8571%)
Gene YDR055W high -> Gene YDL025C high  (2%, 28.5714%)
Gene YDL025C high -> Gene YPR002W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YMR040W high  (2%, 42.8571%)
Gene YMR040W high -> Gene YDL025C high  (2%, 31.5789%)
Gene YDL025C high -> Gene YOL136C high  (2%, 42.8571%)
Gene YOL136C high -> Gene YDL025C high  (2%, 35.2941%)
Gene YDL025C high -> Gene YBR285W high  (2%, 42.8571%)
Gene YBR285W high -> Gene YDL025C high  (2%, 28.5714%)
Gene YDL025C high -> Gene YER160C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YJR149W high  (2%, 42.8571%)
Gene YJR149W high -> Gene YDL025C high  (2%, 28.5714%)
Gene YDL025C high -> Gene YFL051C high  (2%, 42.8571%)
Gene YFL051C high -> Gene YDL025C high  (2%, 25%)
Gene YDL025C high -> Gene YMR050C high  (2%, 42.8571%)
Gene YMR050C high -> Gene YDL025C high  (2%, 21.4286%)
Gene YDL025C high -> Gene YGL261C high  (2%, 42.8571%)
Gene YGL261C high -> Gene YDL025C high  (2%, 33.3333%)
Gene YDL025C high -> Gene YPL159C high  (2%, 42.8571%)
Gene YPL159C high -> Gene YDL025C high  (2%, 40%)
Gene YDL025C high -> Gene YLL025W high  (2%, 42.8571%)
Gene YLL025W high -> Gene YDL025C high  (2%, 25%)
Gene YDL025C high -> Gene YMR045C high  (2%, 42.8571%)
Gene YMR045C high -> Gene YDL025C high  (2%, 22.2222%)
Gene YDL025C high -> Gene YJL155C high  (2%, 42.8571%)
Gene YJL155C high -> Gene YDL025C high  (2%, 54.5455%)
Gene YDL025C high -> Gene YDL131W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YJL223C high  (2%, 42.8571%)
Gene YJL223C high -> Gene YDL025C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YGL260W high  (2%, 42.8571%)
Gene YGL260W high -> Gene YDL025C high  (2%, 37.5%)
Gene YDL025C high -> Gene YGR248W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YBR115C high  (2%, 42.8571%)
Gene YBR115C high -> Gene YDL025C high  (2%, 22.2222%)
Gene YDL025C high -> Gene YMR018W high  (2%, 42.8571%)
Gene YMR018W high -> Gene YDL025C high  (2%, 35.2941%)
Gene YDL025C high -> Gene YAL068C high  (2%, 42.8571%)
Gene YAL068C high -> Gene YDL025C high  (2%, 54.5455%)
Gene YDL025C high -> Gene YLR037C high  (2%, 42.8571%)
Gene YLR037C high -> Gene YDL025C high  (2%, 35.2941%)
Gene YDL025C high -> Gene YOR200W high  (2%, 42.8571%)
Gene YOR200W high -> Gene YDL025C high  (2%, 60%)
Gene YDL025C high -> Gene YOL106W high  (2%, 42.8571%)
Gene YDL025C high -> Gene YIL003W high  (2%, 42.8571%)
Gene YIL003W high -> Gene YDL025C high  (2%, 54.5455%)
Gene YDL025C high -> Gene YBL005W-B high  (2%, 42.8571%)
Gene YDL025C high -> Gene YMR015C high  (2%, 42.8571%)
Gene YMR015C high -> Gene YDL025C high  (2%, 54.5455%)
Gene YDL025C high -> Gene YEL066W high  (2%, 42.8571%)
Gene YEL066W high -> Gene YDL025C high  (2%, 42.8571%)
Gene YDL025C high -> Gene YLL026W high  (2%, 42.8571%)
Gene YLL026W high -> Gene YDL025C high  (2%, 27.2727%)
Gene YDL025C high -> Gene YJR150C high  (1.6667%, 35.7143%)
Gene YJR150C high -> Gene YDL025C high  (1.6667%, 26.3158%)
Gene YDL025C high -> Gene YJL166W high  (1.6667%, 35.7143%)
Gene YJL166W high -> Gene YDL025C high  (1.6667%, 33.3333%)
