Rule   (Support, Confidence) 
Gene YMR095C high,Gene YJR109C high -> Gene YMR096W high  (20%, 100%)
Gene YJR109C high,Gene YMR096W high -> Gene YMR095C high  (20%, 98.3607%)
Gene YBR047W high -> Gene YMR095C high,Gene YMR096W high  (20%, 84.507%)
Gene YMR095C high,Gene YBR047W high -> Gene YMR096W high  (20%, 98.3607%)
Gene YBR047W high,Gene YMR096W high -> Gene YMR095C high  (20%, 92.3077%)
Gene YPL033C high -> Gene YMR096W high  (19.6667%, 88.0597%)
Gene YGL117W high -> Gene YER175C high  (19.3333%, 86.5672%)
Gene YER175C high -> Gene YGL117W high  (19.3333%, 80.5556%)
Gene YGL117W high -> Gene YMR094W high  (19.3333%, 86.5672%)
Gene YHR071W high -> Gene YMR095C high  (19.3333%, 82.8571%)
Gene YBR047W high -> Gene YMR094W high  (19.3333%, 81.6901%)
Gene YHR029C high -> Gene YMR096W high  (19.3333%, 98.3051%)
Gene YGL117W high -> Gene YMR094W high,Gene YMR096W high  (19.3333%, 86.5672%)
Gene YGL117W high,Gene YMR094W high -> Gene YMR096W high  (19.3333%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR094W high  (19.3333%, 87.8788%)
Gene YBR047W high -> Gene YMR095C high,Gene YMR094W high  (19.3333%, 81.6901%)
Gene YMR095C high,Gene YBR047W high -> Gene YMR094W high  (19.3333%, 95.082%)
Gene YMR094W high,Gene YBR047W high -> Gene YMR095C high  (19.3333%, 100%)
Gene YBR047W high -> Gene YMR094W high,Gene YMR096W high  (19.3333%, 81.6901%)
Gene YMR094W high,Gene YBR047W high -> Gene YMR096W high  (19.3333%, 100%)
Gene YBR047W high,Gene YMR096W high -> Gene YMR094W high  (19.3333%, 89.2308%)
Gene YBR047W high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (19.3333%, 81.6901%)
Gene YMR095C high,Gene YBR047W high -> Gene YMR094W high,Gene YMR096W high  (19.3333%, 95.082%)
Gene YMR094W high,Gene YBR047W high -> Gene YMR095C high,Gene YMR096W high  (19.3333%, 100%)
Gene YBR047W high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (19.3333%, 89.2308%)
Gene YMR095C high,Gene YMR094W high,Gene YBR047W high -> Gene YMR096W high  (19.3333%, 100%)
Gene YMR095C high,Gene YMR094W high,Gene YMR096W high -> Gene YBR047W high  (19.3333%, 80.5556%)
Gene YMR095C high,Gene YBR047W high,Gene YMR096W high -> Gene YMR094W high  (19.3333%, 96.6667%)
Gene YMR094W high,Gene YBR047W high,Gene YMR096W high -> Gene YMR095C high  (19.3333%, 100%)
Gene YIR034C high -> Gene YMR095C high  (19%, 91.9355%)
Gene YHR029C high -> Gene YMR095C high  (19%, 96.6102%)
Gene YHR071W high -> Gene YMR094W high  (19%, 81.4286%)
Gene YIR034C high -> Gene YMR096W high  (19%, 91.9355%)
Gene YOL118C high -> Gene YMR096W high  (19%, 83.8235%)
Gene YGL117W high -> Gene YER175C high,Gene YMR096W high  (19%, 85.0746%)
Gene YGL117W high,Gene YER175C high -> Gene YMR096W high  (19%, 98.2759%)
Gene YGL117W high,Gene YMR096W high -> Gene YER175C high  (19%, 86.3636%)
Gene YER175C high,Gene YMR096W high -> Gene YGL117W high  (19%, 82.6087%)
Gene YHR071W high -> Gene YMR095C high,Gene YMR096W high  (19%, 81.4286%)
Gene YMR095C high,Gene YHR071W high -> Gene YMR096W high  (19%, 98.2759%)
Gene YHR071W high,Gene YMR096W high -> Gene YMR095C high  (19%, 91.9355%)
Gene YHR029C high -> Gene YMR095C high,Gene YMR096W high  (19%, 96.6102%)
Gene YMR095C high,Gene YHR029C high -> Gene YMR096W high  (19%, 100%)
Gene YHR029C high,Gene YMR096W high -> Gene YMR095C high  (19%, 98.2759%)
Gene YKL218C high -> Gene YMR096W high  (18.6667%, 94.9153%)
Gene YJR109C high -> Gene YMR094W high  (18.6667%, 87.5%)
Gene YHR029C high -> Gene YMR094W high  (18.6667%, 94.9153%)
Gene YGL117W high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 83.5821%)
Gene YGL117W high,Gene YMR095C high -> Gene YMR094W high  (18.6667%, 93.3333%)
Gene YGL117W high,Gene YMR094W high -> Gene YMR095C high  (18.6667%, 96.5517%)
Gene YJR109C high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 87.5%)
Gene YMR095C high,Gene YJR109C high -> Gene YMR094W high  (18.6667%, 93.3333%)
Gene YJR109C high,Gene YMR094W high -> Gene YMR095C high  (18.6667%, 100%)
Gene YHR029C high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 94.9153%)
Gene YMR095C high,Gene YHR029C high -> Gene YMR094W high  (18.6667%, 98.2456%)
Gene YMR094W high,Gene YHR029C high -> Gene YMR095C high  (18.6667%, 100%)
Gene YPL033C high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 83.5821%)
Gene YMR095C high,Gene YPL033C high -> Gene YMR096W high  (18.6667%, 91.8033%)
Gene YPL033C high,Gene YMR096W high -> Gene YMR095C high  (18.6667%, 94.9153%)
Gene YIR034C high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 90.3226%)
Gene YMR095C high,Gene YIR034C high -> Gene YMR096W high  (18.6667%, 98.2456%)
Gene YIR034C high,Gene YMR096W high -> Gene YMR095C high  (18.6667%, 98.2456%)
Gene YOL118C high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 82.3529%)
Gene YMR095C high,Gene YOL118C high -> Gene YMR096W high  (18.6667%, 93.3333%)
Gene YMR096W high,Gene YOL118C high -> Gene YMR095C high  (18.6667%, 98.2456%)
Gene YHR071W high,Gene YMR094W high -> Gene YMR096W high  (18.6667%, 98.2456%)
Gene YHR071W high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 90.3226%)
Gene YJR109C high -> Gene YMR094W high,Gene YMR096W high  (18.6667%, 87.5%)
Gene YJR109C high,Gene YMR094W high -> Gene YMR096W high  (18.6667%, 100%)
Gene YJR109C high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 91.8033%)
Gene YHR029C high -> Gene YMR094W high,Gene YMR096W high  (18.6667%, 94.9153%)
Gene YMR094W high,Gene YHR029C high -> Gene YMR096W high  (18.6667%, 100%)
Gene YHR029C high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 96.5517%)
Gene YGL117W high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (18.6667%, 83.5821%)
Gene YGL117W high,Gene YMR095C high -> Gene YMR094W high,Gene YMR096W high  (18.6667%, 93.3333%)
Gene YGL117W high,Gene YMR094W high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 96.5517%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 84.8485%)
Gene YGL117W high,Gene YMR095C high,Gene YMR094W high -> Gene YMR096W high  (18.6667%, 100%)
Gene YGL117W high,Gene YMR095C high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 93.3333%)
Gene YGL117W high,Gene YMR094W high,Gene YMR096W high -> Gene YMR095C high  (18.6667%, 96.5517%)
Gene YJR109C high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (18.6667%, 87.5%)
Gene YMR095C high,Gene YJR109C high -> Gene YMR094W high,Gene YMR096W high  (18.6667%, 93.3333%)
Gene YJR109C high,Gene YMR094W high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 100%)
Gene YJR109C high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 91.8033%)
Gene YMR095C high,Gene YJR109C high,Gene YMR094W high -> Gene YMR096W high  (18.6667%, 100%)
Gene YMR095C high,Gene YJR109C high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 93.3333%)
Gene YJR109C high,Gene YMR094W high,Gene YMR096W high -> Gene YMR095C high  (18.6667%, 100%)
Gene YHR029C high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (18.6667%, 94.9153%)
Gene YMR095C high,Gene YHR029C high -> Gene YMR094W high,Gene YMR096W high  (18.6667%, 98.2456%)
Gene YMR094W high,Gene YHR029C high -> Gene YMR095C high,Gene YMR096W high  (18.6667%, 100%)
Gene YHR029C high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (18.6667%, 96.5517%)
Gene YMR095C high,Gene YMR094W high,Gene YHR029C high -> Gene YMR096W high  (18.6667%, 100%)
Gene YMR095C high,Gene YHR029C high,Gene YMR096W high -> Gene YMR094W high  (18.6667%, 98.2456%)
Gene YMR094W high,Gene YHR029C high,Gene YMR096W high -> Gene YMR095C high  (18.6667%, 100%)
Gene YER069W high -> Gene YMR096W high  (18.3333%, 88.7097%)
Gene YJR025C high -> Gene YMR096W high  (18.3333%, 91.6667%)
Gene YNL160W high -> Gene YFL014W high  (18.3333%, 90.1639%)
Gene YOL058W high -> Gene YMR096W high  (18.3333%, 90.1639%)
Gene YMR095C high,Gene YHR071W high -> Gene YMR094W high  (18.3333%, 94.8276%)
Gene YHR071W high,Gene YMR094W high -> Gene YMR095C high  (18.3333%, 96.4912%)
Gene YGL117W high -> Gene YHR071W high  (18%, 80.597%)
Gene YGL117W high -> Gene YJR109C high  (18%, 80.597%)
Gene YJR109C high -> Gene YGL117W high  (18%, 84.375%)
Gene YGL117W high -> Gene YIR034C high  (18%, 80.597%)
Gene YIR034C high -> Gene YGL117W high  (18%, 87.0968%)
Gene YGL117W high -> Gene YBR047W high  (18%, 80.597%)
Gene YKL218C high -> Gene YMR095C high  (18%, 91.5254%)
Gene YJR025C high -> Gene YMR095C high  (18%, 90%)
Gene YBR147W high -> Gene YMR096W high  (18%, 93.1034%)
Gene YGL117W high -> Gene YER175C high,Gene YMR095C high  (18%, 80.597%)
Gene YGL117W high,Gene YER175C high -> Gene YMR095C high  (18%, 93.1034%)
Gene YGL117W high,Gene YMR095C high -> Gene YER175C high  (18%, 90%)
Gene YER175C high,Gene YMR095C high -> Gene YGL117W high  (18%, 80.597%)
Gene YGL117W high -> Gene YJR109C high,Gene YMR096W high  (18%, 80.597%)
Gene YJR109C high -> Gene YGL117W high,Gene YMR096W high  (18%, 84.375%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR096W high  (18%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YJR109C high  (18%, 81.8182%)
Gene YJR109C high,Gene YMR096W high -> Gene YGL117W high  (18%, 88.5246%)
Gene YGL117W high -> Gene YBR047W high,Gene YMR096W high  (18%, 80.597%)
Gene YGL117W high,Gene YBR047W high -> Gene YMR096W high  (18%, 100%)
Gene YGL117W high,Gene YMR096W high -> Gene YBR047W high  (18%, 81.8182%)
Gene YBR047W high,Gene YMR096W high -> Gene YGL117W high  (18%, 83.0769%)
Gene YKL218C high -> Gene YMR095C high,Gene YMR096W high  (18%, 91.5254%)
Gene YKL218C high,Gene YMR095C high -> Gene YMR096W high  (18%, 100%)
Gene YKL218C high,Gene YMR096W high -> Gene YMR095C high  (18%, 96.4286%)
Gene YER175C high,Gene YBR047W high -> Gene YMR096W high  (18%, 98.1818%)
Gene YBR047W high,Gene YMR096W high -> Gene YER175C high  (18%, 83.0769%)
Gene YGL117W high -> Gene YER175C high,Gene YMR095C high,Gene YMR096W high  (18%, 80.597%)
Gene YGL117W high,Gene YER175C high -> Gene YMR095C high,Gene YMR096W high  (18%, 93.1034%)
Gene YGL117W high,Gene YMR095C high -> Gene YER175C high,Gene YMR096W high  (18%, 90%)
Gene YGL117W high,Gene YMR096W high -> Gene YER175C high,Gene YMR095C high  (18%, 81.8182%)
Gene YER175C high,Gene YMR095C high -> Gene YGL117W high,Gene YMR096W high  (18%, 80.597%)
Gene YGL117W high,Gene YER175C high,Gene YMR095C high -> Gene YMR096W high  (18%, 100%)
Gene YGL117W high,Gene YER175C high,Gene YMR096W high -> Gene YMR095C high  (18%, 94.7368%)
Gene YGL117W high,Gene YMR095C high,Gene YMR096W high -> Gene YER175C high  (18%, 90%)
Gene YER175C high,Gene YMR095C high,Gene YMR096W high -> Gene YGL117W high  (18%, 81.8182%)
Gene YMR095C high,Gene YHR071W high -> Gene YMR094W high,Gene YMR096W high  (18%, 93.1034%)
Gene YHR071W high,Gene YMR094W high -> Gene YMR095C high,Gene YMR096W high  (18%, 94.7368%)
Gene YHR071W high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (18%, 87.0968%)
Gene YMR095C high,Gene YHR071W high,Gene YMR094W high -> Gene YMR096W high  (18%, 98.1818%)
Gene YMR095C high,Gene YHR071W high,Gene YMR096W high -> Gene YMR094W high  (18%, 94.7368%)
Gene YHR071W high,Gene YMR094W high,Gene YMR096W high -> Gene YMR095C high  (18%, 96.4286%)
Gene YHR029C high -> Gene YGL117W high  (17.6667%, 89.8305%)
Gene YJR109C high -> Gene YER175C high  (17.6667%, 82.8125%)
Gene YHR029C high -> Gene YER175C high  (17.6667%, 89.8305%)
Gene YBR147W high -> Gene YMR095C high  (17.6667%, 91.3793%)
Gene YOL058W high -> Gene YMR095C high  (17.6667%, 86.8852%)
Gene YOL058W high -> Gene YHR071W high  (17.6667%, 86.8852%)
Gene YJR025C high -> Gene YMR094W high  (17.6667%, 88.3333%)
Gene YLR267W high -> Gene YMR096W high  (17.6667%, 96.3636%)
Gene YGL117W high,Gene YER175C high -> Gene YMR094W high  (17.6667%, 91.3793%)
Gene YGL117W high,Gene YMR094W high -> Gene YER175C high  (17.6667%, 91.3793%)
Gene YER175C high,Gene YMR094W high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene YJR109C high -> Gene YGL117W high,Gene YMR095C high  (17.6667%, 82.8125%)
Gene YGL117W high,Gene YMR095C high -> Gene YJR109C high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR095C high  (17.6667%, 98.1481%)
Gene YMR095C high,Gene YJR109C high -> Gene YGL117W high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YHR071W high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YGL117W high,Gene YMR096W high -> Gene YHR071W high  (17.6667%, 80.303%)
Gene YHR071W high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene YIR034C high -> Gene YGL117W high,Gene YMR096W high  (17.6667%, 85.4839%)
Gene YGL117W high,Gene YIR034C high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YGL117W high,Gene YMR096W high -> Gene YIR034C high  (17.6667%, 80.303%)
Gene YIR034C high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 92.9825%)
Gene YJR109C high -> Gene YER175C high,Gene YMR095C high  (17.6667%, 82.8125%)
Gene YER175C high,Gene YJR109C high -> Gene YMR095C high  (17.6667%, 100%)
Gene YMR095C high,Gene YJR109C high -> Gene YER175C high  (17.6667%, 88.3333%)
Gene YJR109C high -> Gene YER175C high,Gene YMR096W high  (17.6667%, 82.8125%)
Gene YER175C high,Gene YJR109C high -> Gene YMR096W high  (17.6667%, 100%)
Gene YJR109C high,Gene YMR096W high -> Gene YER175C high  (17.6667%, 86.8852%)
Gene YJR025C high -> Gene YMR095C high,Gene YMR094W high  (17.6667%, 88.3333%)
Gene YMR095C high,Gene YJR025C high -> Gene YMR094W high  (17.6667%, 98.1481%)
Gene YMR094W high,Gene YJR025C high -> Gene YMR095C high  (17.6667%, 100%)
Gene YMR095C high,Gene YOL118C high -> Gene YMR094W high  (17.6667%, 88.3333%)
Gene YMR094W high,Gene YOL118C high -> Gene YMR095C high  (17.6667%, 98.1481%)
Gene YJR025C high -> Gene YMR095C high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YMR095C high,Gene YJR025C high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YJR025C high,Gene YMR096W high -> Gene YMR095C high  (17.6667%, 96.3636%)
Gene YOL058W high -> Gene YMR095C high,Gene YMR096W high  (17.6667%, 86.8852%)
Gene YMR095C high,Gene YOL058W high -> Gene YMR096W high  (17.6667%, 100%)
Gene YMR096W high,Gene YOL058W high -> Gene YMR095C high  (17.6667%, 96.3636%)
Gene YJR025C high -> Gene YMR094W high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YMR094W high,Gene YJR025C high -> Gene YMR096W high  (17.6667%, 100%)
Gene YJR025C high,Gene YMR096W high -> Gene YMR094W high  (17.6667%, 96.3636%)
Gene YMR094W high,Gene YOL118C high -> Gene YMR096W high  (17.6667%, 98.1481%)
Gene YMR096W high,Gene YOL118C high -> Gene YMR094W high  (17.6667%, 92.9825%)
Gene YGL117W high,Gene YER175C high -> Gene YMR094W high,Gene YMR096W high  (17.6667%, 91.3793%)
Gene YGL117W high,Gene YMR094W high -> Gene YER175C high,Gene YMR096W high  (17.6667%, 91.3793%)
Gene YGL117W high,Gene YMR096W high -> Gene YER175C high,Gene YMR094W high  (17.6667%, 80.303%)
Gene YER175C high,Gene YMR094W high -> Gene YGL117W high,Gene YMR096W high  (17.6667%, 85.4839%)
Gene YGL117W high,Gene YER175C high,Gene YMR094W high -> Gene YMR096W high  (17.6667%, 100%)
Gene YGL117W high,Gene YER175C high,Gene YMR096W high -> Gene YMR094W high  (17.6667%, 92.9825%)
Gene YGL117W high,Gene YMR094W high,Gene YMR096W high -> Gene YER175C high  (17.6667%, 91.3793%)
Gene YER175C high,Gene YMR094W high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 85.4839%)
Gene YJR109C high -> Gene YGL117W high,Gene YMR095C high,Gene YMR096W high  (17.6667%, 82.8125%)
Gene YGL117W high,Gene YMR095C high -> Gene YJR109C high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YJR109C high -> Gene YMR095C high,Gene YMR096W high  (17.6667%, 98.1481%)
Gene YGL117W high,Gene YMR096W high -> Gene YMR095C high,Gene YJR109C high  (17.6667%, 80.303%)
Gene YMR095C high,Gene YJR109C high -> Gene YGL117W high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YJR109C high,Gene YMR096W high -> Gene YGL117W high,Gene YMR095C high  (17.6667%, 86.8852%)
Gene YGL117W high,Gene YMR095C high,Gene YJR109C high -> Gene YMR096W high  (17.6667%, 100%)
Gene YGL117W high,Gene YMR095C high,Gene YMR096W high -> Gene YJR109C high  (17.6667%, 88.3333%)
Gene YGL117W high,Gene YJR109C high,Gene YMR096W high -> Gene YMR095C high  (17.6667%, 98.1481%)
Gene YMR095C high,Gene YJR109C high,Gene YMR096W high -> Gene YGL117W high  (17.6667%, 88.3333%)
Gene YJR109C high -> Gene YER175C high,Gene YMR095C high,Gene YMR096W high  (17.6667%, 82.8125%)
Gene YER175C high,Gene YJR109C high -> Gene YMR095C high,Gene YMR096W high  (17.6667%, 100%)
Gene YMR095C high,Gene YJR109C high -> Gene YER175C high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YJR109C high,Gene YMR096W high -> Gene YER175C high,Gene YMR095C high  (17.6667%, 86.8852%)
Gene YER175C high,Gene YMR095C high,Gene YJR109C high -> Gene YMR096W high  (17.6667%, 100%)
Gene YER175C high,Gene YMR095C high,Gene YMR096W high -> Gene YJR109C high  (17.6667%, 80.303%)
Gene YER175C high,Gene YJR109C high,Gene YMR096W high -> Gene YMR095C high  (17.6667%, 100%)
Gene YMR095C high,Gene YJR109C high,Gene YMR096W high -> Gene YER175C high  (17.6667%, 88.3333%)
Gene YJR025C high -> Gene YMR095C high,Gene YMR094W high,Gene YMR096W high  (17.6667%, 88.3333%)
Gene YMR095C high,Gene YJR025C high -> Gene YMR094W high,Gene YMR096W high  (17.6667%, 98.1481%)
Gene YMR094W high,Gene YJR025C high -> Gene YMR095C high,Gene YMR096W high  (17.6667%, 100%)
Gene YJR025C high,Gene YMR096W high -> Gene YMR095C high,Gene YMR094W high  (17.6667%, 96.3636%)
Gene YMR095C high,Gene YMR094W high,Gene YJR025C high -> Gene YMR096W high  (17.6667%, 100%)
Gene YMR095C high,Gene YJR025C high,Gene YMR096W high -> Gene YMR094W high  (17.6667%, 100%)
Gene YMR094W high,Gene YJR025C high,Gene YMR096W high -> Gene YMR095C high  (17.6667%, 100%)
Gene YER069W high -> Gene YGL117W high  (17.3333%, 83.871%)
Gene YOL058W high -> Gene YGL117W high  (17.3333%, 85.2459%)
Gene YKL218C high -> Gene YMR094W high  (17.3333%, 88.1356%)
Gene YKL218C high -> Gene YHR029C high  (17.3333%, 88.1356%)
Gene YHR029C high -> Gene YKL218C high  (17.3333%, 88.1356%)
Gene YER069W high -> Gene YMR095C high  (17.3333%, 83.871%)
Gene YJR109C high -> Gene YHR071W high  (17.3333%, 81.25%)
Gene YJR109C high -> Gene YIR034C high  (17.3333%, 81.25%)
Gene YIR034C high -> Gene YJR109C high  (17.3333%, 83.871%)
Gene YJR109C high -> Gene YOL118C high  (17.3333%, 81.25%)
Gene YER069W high -> Gene YOL058W high  (17.3333%, 83.871%)
Gene YOL058W high -> Gene YER069W high  (17.3333%, 85.2459%)
Gene YIR034C high -> Gene YGL117W high,Gene YMR095C high  (17.3333%, 83.871%)
Gene YGL117W high,Gene YMR095C high -> Gene YIR034C high  (17.3333%, 86.6667%)
Gene YGL117W high,Gene YIR034C high -> Gene YMR095C high  (17.3333%, 96.2963%)
Gene YMR095C high,Gene YIR034C high -> Gene YGL117W high  (17.3333%, 91.2281%)
Gene YGL117W high,Gene YMR095C high -> Gene YOL118C high  (17.3333%, 86.6667%)
Gene YGL117W high,Gene YOL118C high -> Gene YMR095C high  (17.3333%, 100%)
Gene YMR095C high,Gene YOL118C high -> Gene YGL117W high  (17.3333%, 86.6667%)
Gene YHR029C high -> Gene YGL117W high,Gene YMR096W high  (17.3333%, 88.1356%)
Gene YGL117W high,Gene YHR029C high -> Gene YMR096W high  (17.3333%, 98.1132%)
Gene YHR029C high,Gene YMR096W high -> Gene YGL117W high  (17.3333%, 89.6552%)
Gene YGL117W high,Gene YOL118C high -> Gene YMR096W high  (17.3333%, 100%)
Gene YMR096W high,Gene YOL118C high -> Gene YGL117W high  (17.3333%, 91.2281%)
Gene YKL218C high -> Gene YMR095C high,Gene YMR094W high  (17.3333%, 88.1356%)
Gene YKL218C high,Gene YMR095C high -> Gene YMR094W high  (17.3333%, 96.2963%)
Gene YKL218C high,Gene YMR094W high -> Gene YMR095C high  (17.3333%, 100%)
Gene YKL218C high -> Gene YMR094W high,Gene YMR096W high  (17.3333%, 88.1356%)
Gene YKL218C high,Gene YMR094W high -> Gene YMR096W high  (17.3333%, 100%)
Gene YKL218C high,Gene YMR096W high -> Gene YMR094W high  (17.3333%, 92.8571%)
Gene YER175C high,Gene YBR047W high -> Gene YMR095C high  (17.3333%, 94.5455%)
Gene YMR095C high,Gene YBR047W high -> Gene YER175C high  (17.3333%, 85.2459%)
Gene YER175C high,Gene YHR071W high -> Gene YMR096W high  (17.3333%, 98.1132%)
Gene YHR071W high,Gene YMR096W high -> Gene YER175C high  (17.3333%, 83.871%)
Gene YER175C high,Gene YMR094W high -> Gene YBR047W high  (17.3333%, 83.871%)
Gene YER175C high,Gene YBR047W high -> Gene YMR094W high  (17.3333%, 94.5455%)
Gene YMR094W high,Gene YBR047W high -> Gene YER175C high  (17.3333%, 89.6552%)
Gene YHR029C high -> Gene YER175C high,Gene YMR096W high  (17.3333%, 88.1356%)
Gene YER175C high,Gene YHR029C high -> Gene YMR096W high  (17.3333%, 98.1132%)
Gene YHR029C high,Gene YMR096W high -> Gene YER175C high  (17.3333%, 89.6552%)
Gene YER069W high -> Gene YMR095C high,Gene YMR096W high  (17.3333%, 83.871%)
Gene YMR095C high,Gene YER069W high -> Gene YMR096W high  (17.3333%, 100%)
Gene YER069W high,Gene YMR096W high -> Gene YMR095C high  (17.3333%, 94.5455%)
Gene YBR147W high -> Gene YMR095C high,Gene YMR096W high  (17.3333%, 89.6552%)
Gene YMR095C high,Gene YBR147W high -> Gene YMR096W high  (17.3333%, 98.1132%)
